Census Tract FIPS Code,County,Total Population,% Non-Hispanic White,% Black,% Hispanic,% Asian,% Native Hawaiian & Other Pacific Islander,% American Indian & Alaskan Native,% Poverty,AB 1550 Low-Income Communities,Metropolitan Planning Organization,SB 535 Disadvantaged Communities,Area Median Income (Regionally Adjusted),Land Area (sqmi),Population Density (sqmi),Population Density (Percentile),% Bike for Job Commute,% Carpooled for Job Commute,% Drove Alone for Job Commute,% Households Paying 30-49% of Income Towards Housing Costs,Clunker Vehicles (Percentile),% Households Paying 50% or More of Income Towards Housing Costs,% Households with No Vehicle,% Multi-Family Housing Units,% No Health Insurance,% Owner-Occupied Households,% Public Transportation for Job Commute,% Renter-Occupied Households,% Single-Family Housing Units,% Walk for Job Commute,% with Medicaid Health Insurance Only,Accessibility to Employment Opportunities (Percentile),All Traffic Accidents (Percentile),Asthma Prevalence,Asthma Prevalence (Percentile),Auto Insurance Premium (Percentile),Availability of Parks & Public Open Space per Population (Percentile),Availability of Weighted Bikeways per Population (Percentile),Average Commute VMT (Percentile),Average Travel Time to Work (Minutes),Average VMT per Household (Percentile),Cardiovascular Disease (Percentile),Cardiovascular Disease Prevalence,High-Quality Transit Locations (Percentile),Housing Unit Density (Percentile),Housing Unit Density (sqmi),Job Density (Percentile),Job Density (sqmi),Jobs-Housing Fit (Percentile),Largest Ethnoracial Group,Lending Barriers (Percentile),Life Expectancy at Birth,Median Household Income,"Neighborhood Change, Housing Variables (Percentile)","Neighborhood Change, Socioeconomic Variables (Percentile)",Newer Clean Vehicles (Percentile),Older Clean Vehicles (Percentile),Primary Care Shortage Areas,Total Housing Units,Total Occupied Housing Units,Vehicles per Household,Walkability Index,Walkability Index (Percentile),x,y
6037101110,Los Angeles,4314,58.32,1.09,31.5,7.63,0.09,0.09,16.14,Yes,SCAG,No,02. 60-80%,0.4410839,9780.45,60 to 70,0,9.57,86.82,30.46,50 to 60,31,7.71,29.66,13.24,48.06,2.52,51.94,67.41,0,21.79,70 to 80,40 to 50,43.41,40 to 50,80 to 90,20 to 30,2,50 to 60,33.85,50 to 60,80 to 90,10.81,4,70 to 80,3951.63,50 to 60,1237.86,40 to 50,Non-Hispanic White,50 to 60,79.2,53077,80 to 90,10 to 20,70 to 80,60 to 70,No,1743,1596,1.77,13.66,60 to 70,,
6037101122,Los Angeles,3239,85.06,1.88,4.41,6.36,0,0.4,3.37,No,SCAG,No,03. 80-140%,1.020872,3172.78,20 to 30,0,7.14,89.69,26.36,40 to 50,16.97,0.56,0,6.77,81.69,0,18.31,100,0.6,11.01,60 to 70,0 to 10,35.97,30 to 40,80 to 90,90 to 100,0,70 to 80,41.48,70 to 80,60 to 70,8.87,0,30 to 40,1362.56,10 to 20,236.07,40 to 50,Non-Hispanic White,30 to 40,80,88953,80 to 90,0 to 10,80 to 90,80 to 90,No,1391,1256,2.13,5.5,0 to 10,,
6037101210,Los Angeles,6052,49.42,2.84,42.7,4.3,0,0,33,Yes,SCAG,No,01. 0-60%,0.2512328,24089.21,90 to 100,0,7.88,83.9,29.69,20 to 30,42.82,12.37,80.72,10.56,14.52,3.04,85.48,19.28,3.42,41.69,70 to 80,80 to 90,43.41,40 to 50,80 to 90,50 to 60,1,50 to 60,28.12,20 to 30,80 to 90,10.81,6,90 to 100,9560.85,80 to 90,4079.88,40 to 50,Non-Hispanic White,10 to 20,82.5,32119,60 to 70,20 to 30,70 to 80,60 to 70,No,2402,2321,1.35,13.67,60 to 70,,
6037101220,Los Angeles,3497,48.44,2.03,37.6,8.64,0,0,14.98,Yes,SCAG,No,02. 60-80%,0.2698414,12959.46,80 to 90,0,8.69,85.88,26.62,40 to 50,38.39,8.73,45.11,10.35,36.4,3.82,63.6,54.89,0,29.94,70 to 80,70 to 80,43.41,40 to 50,80 to 90,40 to 50,2,60 to 70,29.6,40 to 50,80 to 90,10.81,7,80 to 90,4921.41,50 to 60,1626.88,50 to 60,Non-Hispanic White,40 to 50,78.5,41728,70 to 80,10 to 20,80 to 90,70 to 80,No,1328,1294,1.68,14.21,70 to 80,,
6037101300,Los Angeles,4297,81.52,3.75,6.61,6.73,0,0,9.2,No,SCAG,No,03. 80-140%,0.9966123,4311.61,30 to 40,0,7.24,88.11,19.04,20 to 30,23.62,4.6,2.71,7.36,88.36,4.65,11.64,96.84,0,12.96,70 to 80,50 to 60,33.52,30 to 40,80 to 90,80 to 90,3,50 to 60,35.65,60 to 70,50 to 60,8.16,6,30 to 40,1589.38,40 to 50,893.03,50 to 60,Non-Hispanic White,30 to 40,80,86914,90 to 100,0 to 10,70 to 80,70 to 80,No,1584,1435,2.25,14.33,70 to 80,,
6037101400,Los Angeles,3851,65.67,0.47,19.32,9.04,0,1.12,8.36,Yes,SCAG,No,03. 80-140%,2.436326,1580.66,10 to 20,0,14,79.88,28.36,50 to 60,22.36,8.21,12.95,5.38,71.22,3,28.78,86.25,1.82,18.41,70 to 80,40 to 50,31.22,20 to 30,80 to 90,80 to 90,3,50 to 60,34.56,50 to 60,30 to 40,7.15,5,20 to 30,662.47,20 to 30,371.46,50 to 60,Non-Hispanic White,20 to 30,81.4,71125,0 to 10,10 to 20,80 to 90,70 to 80,No,1614,1473,1.88,11.01,40 to 50,,
6037102103,Los Angeles,1771,65.16,0,26.54,6.38,0,0,8.81,No,SCAG,No,03. 80-140%,0.458104,3865.93,30 to 40,0,9.75,87.77,30.93,10 to 20,22.82,1.15,20.52,9.71,65.66,0,34.34,79.48,0,13.38,70 to 80,50 to 60,77.04,80 to 90,90 to 100,90 to 100,8,40 to 50,27.3,40 to 50,50 to 60,8.41,2,30 to 40,1584.79,20 to 30,305.61,70 to 80,Non-Hispanic White,10 to 20,82.9,76333,70 to 80,20 to 30,70 to 80,70 to 80,No,726,696,1.96,11,40 to 50,,
6037102104,Los Angeles,3554,66.8,3.29,16.18,12.46,0.23,0.08,12.71,No,SCAG,No,03. 80-140%,0.6403674,5549.94,40 to 50,0.63,10.18,79.16,32.21,0 to 10,28.11,6.54,20.3,5.57,70.47,4.07,29.53,79.26,5.47,25.86,70 to 80,40 to 50,38.17,30 to 40,80 to 90,90 to 100,6,20 to 30,30.08,40 to 50,10 to 20,5.42,4,40 to 50,2100.36,50 to 60,1600.64,70 to 80,Non-Hispanic White,20 to 30,85.4,70754,80 to 90,0 to 10,90 to 100,80 to 90,No,1345,1270,1.92,13.16,50 to 60,,
6037102105,Los Angeles,1857,20.46,2.21,67.96,6.3,0.65,0.7,17.34,Yes,SCAG,No,02. 60-80%,0.1902561,9760.53,60 to 70,0,4.75,81.88,24.6,50 to 60,36.98,1.42,33.28,9.75,47.96,0.87,52.04,65.87,6.3,23.37,80 to 90,40 to 50,31.99,20 to 30,80 to 90,60 to 70,7,20 to 30,25.02,60 to 70,0 to 10,4.22,9,60 to 70,3095.83,50 to 60,1245.69,70 to 80,Hispanic,40 to 50,78.7,52132,80 to 90,30 to 40,50 to 60,40 to 50,No,589,563,2.07,12.18,50 to 60,,
6037102107,Los Angeles,4333,60.1,2.56,26.96,9.12,0,0.14,7.88,No,SCAG,No,03. 80-140%,4.984022,869.38,10 to 20,0,12.65,86.65,18.11,60 to 70,18.5,3.91,7.84,1.35,74.33,0,25.67,92.16,0,22.97,70 to 80,40 to 50,47.76,50 to 60,80 to 90,80 to 90,9,50 to 60,31.23,60 to 70,30 to 40,6.52,2,10 to 20,271.27,10 to 20,218.7,70 to 80,Non-Hispanic White,50 to 60,79.6,106037,80 to 90,90 to 100,80 to 90,70 to 80,No,1352,1305,2.31,12.2,50 to 60,,
6037103101,Los Angeles,2597,67.85,0.5,24.53,6.58,0,0.46,7.05,No,SCAG,No,03. 80-140%,0.7837125,3313.72,20 to 30,0,13.16,85.04,16.06,50 to 60,26.47,1.09,0,3.97,85.26,0,14.74,100,0,10.51,60 to 70,20 to 30,40.3,40 to 50,80 to 90,80 to 90,0,70 to 80,36.23,70 to 80,60 to 70,9.55,0,30 to 40,1245.35,10 to 20,256.47,30 to 40,Non-Hispanic White,20 to 30,80.7,89211,50 to 60,50 to 60,70 to 80,70 to 80,No,976,916,2.26,7.59,20 to 30,,
6037103102,Los Angeles,4456,57.65,0,22.89,16.9,0,0.16,5.51,No,SCAG,No,03. 80-140%,0.479164,9299.53,60 to 70,0,16.25,79.68,29.4,30 to 40,19.28,4.4,7.06,10.28,78.64,2.95,21.36,92.94,0.69,14.34,70 to 80,60 to 70,41.09,40 to 50,80 to 90,50 to 60,2,60 to 70,35.66,60 to 70,70 to 80,9.68,5,70 to 80,3547.85,60 to 70,2099.49,40 to 50,Non-Hispanic White,30 to 40,80.6,74631,20 to 30,10 to 20,60 to 70,60 to 70,No,1700,1568,2.05,14.27,70 to 80,,
6037103200,Los Angeles,6726,54.4,1.29,35.21,6.32,0,0,15.09,Yes,SCAG,No,03. 80-140%,2.862792,2349.45,20 to 30,0,13.44,83.04,27.38,50 to 60,16.41,6.29,19.41,7.32,63.41,0,36.59,72.92,3.52,16.17,70 to 80,30 to 40,52.87,60 to 70,80 to 90,90 to 100,6,60 to 70,33.5,50 to 60,70 to 80,10.52,5,20 to 30,820.53,20 to 30,343.02,40 to 50,Non-Hispanic White,50 to 60,81.5,71346,0 to 10,50 to 60,70 to 80,70 to 80,No,2349,2274,1.89,13.34,60 to 70,,
6037103300,Los Angeles,3549,73.49,1.18,14.09,8.71,0,0.25,4.87,No,SCAG,No,04. 140%+,2.371422,1496.57,10 to 20,0,16.42,81.19,16.13,80 to 90,22.69,2.12,0.5,4.59,84.65,1.94,15.35,99.5,0,3.63,70 to 80,20 to 30,49.5,50 to 60,80 to 90,90 to 100,9,40 to 50,34.95,80 to 90,80 to 90,10.81,0,10 to 20,588.68,20 to 30,333.13,70 to 80,Non-Hispanic White,30 to 40,81,93207,20 to 30,20 to 30,80 to 90,80 to 90,No,1396,1225,2.6,6.49,10 to 20,,
6037103400,Los Angeles,6662,56.21,2.25,23.37,12.97,2.52,1.56,14.02,Yes,SCAG,No,03. 80-140%,0.9655462,6899.72,50 to 60,0,9.52,88.53,21.7,50 to 60,17.01,3.37,18.95,4.99,62.29,1.95,37.71,76.98,0,10.56,70 to 80,40 to 50,43.73,40 to 50,80 to 90,70 to 80,2,60 to 70,29.49,70 to 80,70 to 80,10.22,6,50 to 60,2596.46,30 to 40,716.69,30 to 40,Non-Hispanic White,40 to 50,79.6,81618,50 to 60,70 to 80,60 to 70,60 to 70,No,2507,2432,2.14,14.01,60 to 70,,
